"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC12A1",389.199865712462,-3.52470231152555,0.751919879674583,-4.68760356894803,2.7642281905806e-06,0.000514146443447992
"GK5",366.400513749849,-0.55032902276592,0.118319518366744,-4.65121080919309,3.29991784472082e-06,0.000607646871926893
"LINC00341",255.218903911857,0.384936714275852,0.0829629164907132,4.63986478005437,3.4863722478786e-06,0.000629392731102319
"FHL1",133.884958893468,1.22785933765901,0.26454812894913,4.64134576395025,3.46147346061179e-06,0.000629392731102319
"CNOT6",550.26853928821,-0.65280940743992,0.140843889726539,-4.63498564763733,3.56962245849408e-06,0.000638165319909805
"PIGN",338.305856041897,-0.353119939806203,0.0765221233738972,-4.61461240536691,3.93829585803823e-06,0.000692265757177871
"PTGIR",48.3128449899919,1.03324516003308,0.223930587740885,4.61413141660072,3.94742611619835e-06,0.000692265757177871
"APOBEC3B",18.8821947274791,4.79509432789797,1.04402029809254,4.59291293153857,4.37101463069611e-06,0.000759319466128663
"NRIR",36.211908815903,2.62391134999855,0.572264159559016,4.58514010735973,4.53682106894062e-06,0.000777207554190417
"HIST1H2AH",68.7510523252632,1.06429157490881,0.232244939926356,4.58262546105976,4.59174042994389e-06,0.000777207554190417
"DNLZ",48.0514140065652,0.944584195063365,0.206141077612021,4.58222206852518,4.6006095040054e-06,0.000777207554190417
"OAS2",1156.97484218635,1.60383828504481,0.353144336960086,4.54159423552099,5.58304198338686e-06,0.000934601228018961
"CEP170B",19.1773761915321,-1.21583022419688,0.267873103916394,-4.53882904412962,5.6567472634121e-06,0.000938408505481716
"CAPN2",1626.05146787671,0.450833372563774,0.0993793976238186,4.53648727345195,5.71989394135954e-06,0.000940411848537451
"ADGRG6",9.25913456809295,-1.62205451299203,0.357995300731455,-4.53093800303481,5.87223710249553e-06,0.000956914814206661
"LIPA",734.707493767055,0.682386736793936,0.151017952928609,4.51858023209015,6.22556823453445e-06,0.000992257884877684
"TNNT1",15.7603843365412,1.89371928898945,0.418879515793703,4.52091643918463,6.15724910357662e-06,0.000992257884877684
"PPBP",1974.20224109452,1.71360886256176,0.379307984849265,4.51772420040865,6.25078280904808e-06,0.000992257884877684
"FCRL5",197.703421097074,1.86772856507499,0.414035953759688,4.51102989514539,6.45136268091143e-06,0.00101534523424191
"DDAH2",170.521100797905,0.53209510815998,0.118250139556657,4.499741904364,6.80360171016501e-06,0.00105278589824352
"NRCAM",43.1669827298363,-2.10324925624085,0.467270800265393,-4.50113564777913,6.75913506297701e-06,0.00105278589824352
"SMG1P1",24.0979730296389,-1.29616436129886,0.288269360583778,-4.49636533925762,6.91249235294896e-06,0.00106072195156002
"LMNA",125.680552925864,1.23512064282295,0.274811361962129,4.49443077609417,6.97562903280351e-06,0.00106156390917392
"MAD2L1BP",155.263854159217,0.477500791357507,0.106678136903981,4.47608858961699,7.60229499730404e-06,0.00113811918764518
"RUNDC3B",26.871943071985,-0.908072927029085,0.202861220208412,-4.47632586502322,7.59385510187909e-06,0.00113811918764518
"CMPK2",651.711875634049,2.40488250242687,0.538844844295572,4.46303333489394,8.08074756755048e-06,0.00119999101378125
"SLC24A4",491.725290561816,0.609944498766699,0.137082505562713,4.44947001999214,8.60824445171776e-06,0.00121392339193921
"CTSH",892.571925682506,0.722977273043334,0.162244655333741,4.45609300075958,8.34668344256625e-06,0.00121392339193921
"ZADH2",745.587629149912,-0.347841026047672,0.078037470663971,-4.45735904928895,8.29755600494072e-06,0.00121392339193921
"RSAD2",1236.57928887517,2.98539896735828,0.670682311811006,4.4512862718818,8.53574609138088e-06,0.00121392339193921
"ACVR1C",97.1007907996739,-0.9347498345977,0.210039308607502,-4.45035665368931,8.57277995447997e-06,0.00121392339193921
"CCR1",1186.86518734456,1.06552833135731,0.239510358603918,4.44877765441199,8.63603586097731e-06,0.00121392339193921
"ZMAT3",590.685180516068,-0.522761745787922,0.117449481161348,-4.45094980938885,8.54913229759624e-06,0.00121392339193921
"LY86",220.243245102534,0.762083229366954,0.171441351554849,4.44515411512689,8.78288825179595e-06,0.00122521291112554
"JUP",81.5769077684082,1.70249206043506,0.383528969682417,4.43901815772825,9.03701930477301e-06,0.00125118551487286
"MKRN3",22.5067121365924,-1.56591887039363,0.353153984257128,-4.43409657033206,9.24591781957099e-06,0.00127055470693717
"OASL",437.822467410656,1.9790206152735,0.446861305532096,4.42871331836844,9.47969290147685e-06,0.00128912183743326
"RASA2",1629.89285586811,-0.441065403443616,0.0996133449672816,-4.42777424639726,9.52104756657559e-06,0.00128912183743326
"ZNF559",244.013315074214,-0.563387136820774,0.127318727475143,-4.42501388439314,9.64360805966403e-06,0.00129618539277849
"LINC01547",135.50066229403,0.537568763785244,0.121584898203024,4.42134485228259,9.80884817379442e-06,0.00130884152371196
"PCDHGA6",9.60601967564762,-1.34954382558653,0.305443798902562,-4.41830487453124,9.94780324157793e-06,0.00131783344525479
"BAK1",134.049704060613,0.57950474650734,0.131400532617268,4.41021611529742,1.03267505207126e-05,0.00135826274348858
"LGALS3BP",154.918195916023,1.0596902925958,0.240786238865733,4.40095869924987,1.07773638928161e-05,0.00140747786327883
